observed_on,scientific_name,common_name,taxon_order_name,taxon_family_name
7/17/2014,Tharsalea mariposa,Mariposa Copper,Lepidoptera,Lycaenidae
7/17/2014,Cordulia shurtleffii,American Emerald,Odonata,Corduliidae
7/19/2014,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
7/28/2014,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
8/7/2014,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/7/2014,Bombus mixtus,Fuzzy-Horned Bumble Bee,Hymenoptera,Apidae
9/17/2014,Alaus melanops,Western Eyed Click Beetle,Coleoptera,Elateridae
10/18/2014,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
10/21/2014,Trimerotropis pallidipennis,Pallid-winged Grasshopper,Orthoptera,Acrididae
12/6/2014,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/5/2015,Pontia protodice,Checkered White,Lepidoptera,Pieridae
3/28/2015,Bombus melanopygus,Black-tailed Bumble Bee,Hymenoptera,Apidae
4/7/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
4/12/2015,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
4/18/2015,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
5/2/2015,Pyrgus ruralis,Two-banded Checkered-Skipper,Lepidoptera,Hesperiidae
5/4/2015,Papilio zelicaon,Anise Swallowtail,Lepidoptera,Papilionidae
5/14/2015,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
6/5/2015,Callophrys eryphon,Western Pine Elfin,Lepidoptera,Lycaenidae
6/7/2015,Cordulegaster dorsalis,Pacific Spiketail,Odonata,Cordulegastridae
6/9/2015,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
6/14/2015,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
6/15/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/15/2015,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/23/2015,Plathemis lydia,Common Whitetail,Odonata,Libellulidae
6/24/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/24/2015,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/24/2015,Phyciodes pulchella,Field Crescent,Lepidoptera,Nymphalidae
6/24/2015,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
6/24/2015,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/25/2015,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
6/25/2015,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
6/25/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/25/2015,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/26/2015,Callophrys eryphon,Western Pine Elfin,Lepidoptera,Lycaenidae
6/26/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/26/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/26/2015,Anax junius,Common Green Darner,Odonata,Aeshnidae
6/26/2015,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/26/2015,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
6/26/2015,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/26/2015,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/26/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/26/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/26/2015,Alypia langtoni,Langton's Forester,Lepidoptera,Noctuidae
6/26/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/26/2015,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/27/2015,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
6/27/2015,Camponotus modoc,Western Black Carpenter Ant,Hymenoptera,Formicidae
6/27/2015,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
6/27/2015,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/27/2015,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
6/27/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/27/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/27/2015,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
6/27/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/27/2015,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
6/27/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/27/2015,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
6/27/2015,Tamalia coweni,Manzanita Leafgall Aphid,Hemiptera,Aphididae
6/27/2015,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/27/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
6/30/2015,Glaucopsyche lygdamus,Silvery Blue,Lepidoptera,Lycaenidae
7/3/2015,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
7/5/2015,Polyergus mexicanus,Western Amazon Ant,Hymenoptera,Formicidae
7/11/2015,Icaricia shasta,Shasta Blue,Lepidoptera,Lycaenidae
7/12/2015,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
7/12/2015,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
7/13/2015,Bombus melanopygus,Black-tailed Bumble Bee,Hymenoptera,Apidae
7/18/2015,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/19/2015,Camponotus modoc,Western Black Carpenter Ant,Hymenoptera,Formicidae
7/20/2015,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
7/23/2015,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/26/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
7/26/2015,Papilio multicaudata,Two-tailed Swallowtail,Lepidoptera,Papilionidae
7/27/2015,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
7/27/2015,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
7/27/2015,Pontia occidentalis,Western White,Lepidoptera,Pieridae
7/27/2015,Anabrus simplex,Mormon Cricket,Orthoptera,Tettigoniidae
7/27/2015,Oeneis chryxus,Chryxus Arctic,Lepidoptera,Nymphalidae
7/27/2015,Icaricia shasta,Shasta Blue,Lepidoptera,Lycaenidae
7/27/2015,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
7/27/2015,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
7/27/2015,Phyciodes pulchella,Field Crescent,Lepidoptera,Nymphalidae
7/27/2015,Aeshna palmata,Paddle-tailed Darner,Odonata,Aeshnidae
7/27/2015,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2015,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
7/27/2015,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/28/2015,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
7/29/2015,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
7/29/2015,Plebejus anna,Anna's Blue,Lepidoptera,Lycaenidae
8/1/2015,Libytheana carinenta,American Snout,Lepidoptera,Nymphalidae
8/10/2015,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
8/11/2015,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
8/11/2015,Aeshna palmata,Paddle-tailed Darner,Odonata,Aeshnidae
8/17/2015,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/18/2015,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
9/6/2015,Anax junius,Common Green Darner,Odonata,Aeshnidae
9/7/2015,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
9/7/2015,Argynnis zerene,Zerene Fritillary,Lepidoptera,Nymphalidae
9/7/2015,Sympetrum corruptum,Variegated Meadowhawk,Odonata,Libellulidae
9/7/2015,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
9/9/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
9/12/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
9/12/2015,Archilestes grandis,Great Spreadwing,Odonata,Lestidae
9/20/2015,Manica bradleyi,Bradley's Manic Ant,Hymenoptera,Formicidae
9/20/2015,Camponotus modoc,Western Black Carpenter Ant,Hymenoptera,Formicidae
9/27/2015,Sympetrum semicinctum,Band-winged Meadowhawk,Odonata,Libellulidae
9/27/2015,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
10/2/2015,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
10/2/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/2/2015,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
10/2/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/2/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/2/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/3/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/3/2015,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
10/3/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/3/2015,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
10/3/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/3/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/3/2015,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
10/22/2015,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
11/2/2015,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/2/2015,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/5/2015,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/5/2015,Altica ambiens,Alder Flea Beetle,Coleoptera,Chrysomelidae
11/7/2015,Leptoglossus occidentalis,Western Conifer Seed Bug,Hemiptera,Coreidae
11/8/2015,Leptoglossus occidentalis,Western Conifer Seed Bug,Hemiptera,Coreidae
4/26/2016,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
5/3/2016,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
5/11/2016,Vanessa atalanta,Red Admiral,Lepidoptera,Nymphalidae
5/11/2016,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
5/12/2016,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
5/15/2016,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
5/16/2016,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
5/16/2016,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
5/16/2016,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
5/19/2016,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
5/22/2016,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
5/22/2016,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
5/22/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/22/2016,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
5/24/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/30/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/1/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/4/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/16/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/21/2016,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
6/21/2016,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/21/2016,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/21/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
6/21/2016,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
6/21/2016,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
6/21/2016,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/21/2016,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/21/2016,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
6/22/2016,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
6/22/2016,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
6/22/2016,Callophrys eryphon,Western Pine Elfin,Lepidoptera,Lycaenidae
6/22/2016,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/22/2016,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/22/2016,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
6/23/2016,Antheraea polyphemus,Polyphemus Moth,Lepidoptera,Saturniidae
6/25/2016,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
6/25/2016,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
7/2/2016,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
7/13/2016,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/17/2016,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
7/22/2016,Limenitis lorquini,Lorquin's Admiral,Lepidoptera,Nymphalidae
7/25/2016,Cicindela longilabris,Boreal Long-lipped Tiger Beetle,Coleoptera,Carabidae
7/25/2016,Euphydryas editha,Edith's Checkerspot,Lepidoptera,Nymphalidae
7/25/2016,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/25/2016,Syngrapha ignea,Mountain Beauty Moth,Lepidoptera,Noctuidae
7/25/2016,Neohermes californicus,,Megaloptera,Corydalidae
7/26/2016,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/27/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
7/27/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
7/27/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
7/27/2016,Heliopetes ericetorum,Northern White-Skipper,Lepidoptera,Hesperiidae
7/27/2016,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
7/28/2016,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
7/28/2016,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
7/28/2016,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
7/28/2016,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
7/28/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
7/28/2016,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
7/28/2016,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
7/28/2016,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
7/28/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
7/28/2016,Heliopetes ericetorum,Northern White-Skipper,Lepidoptera,Hesperiidae
7/28/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
7/28/2016,Polites sonora,Sonoran Skipper,Lepidoptera,Hesperiidae
7/28/2016,Heliopetes ericetorum,Northern White-Skipper,Lepidoptera,Hesperiidae
7/28/2016,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
7/28/2016,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
7/28/2016,Argynnis hydaspe,Hydaspe Fritillary,Lepidoptera,Nymphalidae
7/28/2016,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/29/2016,Rhionaeschna multicolor,Blue-eyed Darner,Odonata,Aeshnidae
7/29/2016,Rhionaeschna multicolor,Blue-eyed Darner,Odonata,Aeshnidae
7/29/2016,Rhionaeschna multicolor,Blue-eyed Darner,Odonata,Aeshnidae
7/31/2016,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/31/2016,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
7/31/2016,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
8/2/2016,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
8/2/2016,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
8/2/2016,Leucorrhinia glacialis,Crimson-ringed Whiteface,Odonata,Libellulidae
8/2/2016,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
8/2/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
8/2/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
8/2/2016,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
8/2/2016,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
8/6/2016,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
8/6/2016,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
8/6/2016,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
8/6/2016,Anax junius,Common Green Darner,Odonata,Aeshnidae
8/6/2016,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
8/8/2016,Aeshna palmata,Paddle-tailed Darner,Odonata,Aeshnidae
8/8/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
8/8/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
8/8/2016,Icaricia saepiolus,Greenish Blue,Lepidoptera,Lycaenidae
8/8/2016,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
8/8/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
8/8/2016,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
8/14/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/14/2016,Alaus melanops,Western Eyed Click Beetle,Coleoptera,Elateridae
8/16/2016,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
8/19/2016,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
8/19/2016,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
8/22/2016,Hemileuca eglanterina,Western Sheep Moth,Lepidoptera,Saturniidae
9/3/2016,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
9/3/2016,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
9/5/2016,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
9/5/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
9/22/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
9/24/2016,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
9/24/2016,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
9/25/2016,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
9/25/2016,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
9/25/2016,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
9/25/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
9/25/2016,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
9/25/2016,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
9/25/2016,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Coleoptera,Chrysomelidae
9/25/2016,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
9/25/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
9/25/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/14/2016,Dolichovespula maculata,Bald-faced Hornet,Hymenoptera,Vespidae
11/2/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/2/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/3/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/20/2016,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
12/14/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
12/28/2016,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
1/15/2017,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/16/2017,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
3/27/2017,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/29/2017,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/29/2017,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
3/29/2017,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
4/3/2017,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
4/12/2017,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
4/21/2017,Antheraea polyphemus,Polyphemus Moth,Lepidoptera,Saturniidae
4/22/2017,Hyles lineata,White-lined Sphinx,Lepidoptera,Sphingidae
5/11/2017,Temnoscheila chlorodia,Pine Trogossitid Beetle,Coleoptera,Trogossitidae
5/18/2017,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
5/18/2017,Aquarius remigis,North American Common Water Strider,Hemiptera,Gerridae
5/20/2017,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
5/20/2017,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
5/20/2017,Dictyoptera simplicipes,Red Net-winged Beetle,Coleoptera,Lycidae
5/21/2017,Mycetophagus californicus,,Coleoptera,Mycetophagidae
5/24/2017,Chalcophora angulicollis,Western Sculptured Pine Borer,Coleoptera,Buprestidae
5/25/2017,Priacma serrata,Priacma bleach beetle,Coleoptera,Cupedidae
5/29/2017,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/2/2017,Chalcophora angulicollis,Western Sculptured Pine Borer,Coleoptera,Buprestidae
6/4/2017,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/11/2017,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/15/2017,Hyles lineata,White-lined Sphinx,Lepidoptera,Sphingidae
6/15/2017,Callophrys gryneus,Juniper Hairstreak,Lepidoptera,Lycaenidae
6/15/2017,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/15/2017,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/16/2017,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
